k,tau,c,Method,Runtime,Recall,Candidates
10,0.5,-,Full_SSA,0.0004017353057861328,1.0,3000
10,0.5,-,Full_PRA,0.03420829772949219,1.0,3000
10,0.5,1.0,Hybrid_SSA,0.005136013031005859,0.0,10
10,0.5,1.0,Hybrid_PRA,0.004740715026855469,0.0,10
10,0.5,1.5,Hybrid_SSA,0.005021333694458008,0.0,15
10,0.5,1.5,Hybrid_PRA,0.005287647247314453,0.0,15
10,0.5,2.0,Hybrid_SSA,0.005272388458251953,0.0,20
10,0.5,2.0,Hybrid_PRA,0.0050394535064697266,0.0,20
10,0.8,-,Full_SSA,0.00041675567626953125,1.0,3000
10,0.8,-,Full_PRA,0.04160952568054199,1.0,3000
10,0.8,1.0,Hybrid_SSA,0.0050051212310791016,0.0,10
10,0.8,1.0,Hybrid_PRA,0.0043604373931884766,0.0,10
10,0.8,1.5,Hybrid_SSA,0.004591941833496094,0.0,15
10,0.8,1.5,Hybrid_PRA,0.004866600036621094,0.0,15
10,0.8,2.0,Hybrid_SSA,0.006064176559448242,0.0,20
10,0.8,2.0,Hybrid_PRA,0.004578590393066406,0.0,20
10,1.0,-,Full_SSA,0.0004591941833496094,1.0,3000
10,1.0,-,Full_PRA,0.03602313995361328,1.0,3000
10,1.0,1.0,Hybrid_SSA,0.004964590072631836,0.0,10
10,1.0,1.0,Hybrid_PRA,0.004644870758056641,0.0,10
10,1.0,1.5,Hybrid_SSA,0.00467371940612793,0.0,15
10,1.0,1.5,Hybrid_PRA,0.0049436092376708984,0.0,15
10,1.0,2.0,Hybrid_SSA,0.006414175033569336,0.0,20
10,1.0,2.0,Hybrid_PRA,0.005159616470336914,0.0,20
50,0.5,-,Full_SSA,0.0005702972412109375,1.0,3000
50,0.5,-,Full_PRA,0.6538941860198975,1.0,3000
50,0.5,1.0,Hybrid_SSA,0.008995532989501953,0.0,50
50,0.5,1.0,Hybrid_PRA,0.008971214294433594,0.0,50
50,0.5,1.5,Hybrid_SSA,0.014668464660644531,0.0,75
50,0.5,1.5,Hybrid_PRA,0.012854337692260742,0.0,75
50,0.5,2.0,Hybrid_SSA,0.019350528717041016,0.0,100
50,0.5,2.0,Hybrid_PRA,0.02008795738220215,0.0,100
50,0.8,-,Full_SSA,0.0005357265472412109,1.0,3000
50,0.8,-,Full_PRA,0.6049621105194092,1.0,3000
50,0.8,1.0,Hybrid_SSA,0.00893259048461914,0.0,50
50,0.8,1.0,Hybrid_PRA,0.00878286361694336,0.0,50
50,0.8,1.5,Hybrid_SSA,0.010927200317382812,0.0,75
50,0.8,1.5,Hybrid_PRA,0.01112222671508789,0.0,75
50,0.8,2.0,Hybrid_SSA,0.02044987678527832,0.0,100
50,0.8,2.0,Hybrid_PRA,0.020082473754882812,0.0,100
50,1.0,-,Full_SSA,0.0005130767822265625,1.0,3000
50,1.0,-,Full_PRA,0.6025149822235107,1.0,3000
50,1.0,1.0,Hybrid_SSA,0.010027170181274414,0.0,50
50,1.0,1.0,Hybrid_PRA,0.009194374084472656,0.0,50
50,1.0,1.5,Hybrid_SSA,0.011743307113647461,0.0,75
50,1.0,1.5,Hybrid_PRA,0.011274337768554688,0.0,75
50,1.0,2.0,Hybrid_SSA,0.01961803436279297,0.0,100
50,1.0,2.0,Hybrid_PRA,0.019107818603515625,0.0,100
100,0.5,-,Full_SSA,0.0005645751953125,1.0,3000
100,0.5,-,Full_PRA,2.404710531234741,1.0,3000
100,0.5,1.0,Hybrid_SSA,0.018800973892211914,0.0,100
100,0.5,1.0,Hybrid_PRA,0.018259525299072266,0.0,100
100,0.5,1.5,Hybrid_SSA,0.05810284614562988,0.0,150
100,0.5,1.5,Hybrid_PRA,0.02889418601989746,0.0,150
100,0.5,2.0,Hybrid_SSA,0.043665170669555664,0.0,200
100,0.5,2.0,Hybrid_PRA,0.03546547889709473,0.0,200
100,0.8,-,Full_SSA,0.0006361007690429688,1.0,3000
100,0.8,-,Full_PRA,2.4281890392303467,1.0,3000
100,0.8,1.0,Hybrid_SSA,0.018504858016967773,0.0,100
100,0.8,1.0,Hybrid_PRA,0.020009994506835938,0.0,100
100,0.8,1.5,Hybrid_SSA,0.03576779365539551,0.0,150
100,0.8,1.5,Hybrid_PRA,0.02716803550720215,0.0,150
100,0.8,2.0,Hybrid_SSA,0.040781497955322266,0.0,200
100,0.8,2.0,Hybrid_PRA,0.16248345375061035,0.0,200
100,1.0,-,Full_SSA,0.0006361007690429688,1.0,3000
100,1.0,-,Full_PRA,2.364213466644287,1.0,3000
100,1.0,1.0,Hybrid_SSA,0.018457651138305664,0.0,100
100,1.0,1.0,Hybrid_PRA,0.01850295066833496,0.0,100
100,1.0,1.5,Hybrid_SSA,0.03577065467834473,0.0,150
100,1.0,1.5,Hybrid_PRA,0.02541351318359375,0.0,150
100,1.0,2.0,Hybrid_SSA,0.04022216796875,0.0,200
100,1.0,2.0,Hybrid_PRA,0.03260302543640137,0.0,200
