user_id,user_idx
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2204
AHV6QCNBJNSGLATP56JAWJ3C4G2A,4547
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,2998
AECGR42H24LUU7DA7HEUMCRLTX7Q,280
AEUAL3EJKUSTNB4YY6STLYGTJALA,962
AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1287
AFWRGOGF4AI2IHRX7KZ2IYL63RXA,2223
AHU2GG5RF6YAEWUFNLH3QH5RHDNQ,4504
AGYAEIYXACDC4DFXFBVL544OEP3Q,3458
AH7CYOTLQP66VONKM73LS3JKX7SQ,3699
AGVPDSR2YQTHBSZAE7BFYWEH7BYQ,3353
AHR6RGZTLOMBD7EBF3OK43JWMGNQ,4390
AFKMX6JZ655VPVYHBTATZQS4IBOQ,1759
AGZMKHWSCB3UXDGFUPFRZSL4EAWQ,3508
AGVXN42IKSKKBNVFGKCMKIZEBNSQ,3368
AFGLFLHKZQI35Z7UIJWNUCTFSGXQ,1628
AGZZXSMMS4WRHHJRBUJZI4FZDHKQ,3523
AFDNLNTANUGENK62RSTAQALJOWPQ,1512
AFTQN4MTJHHVFM4FEXY5KT76OY4A,2103
AH7AMQEZQSI4LHJMA5URES2W6L4Q,3694
AFLBMDZDIPCHMWWA7CXQXITPBJKA,1789
AHOSCGYXAR5K5FR4JPILL7KE4IQA,4289
AG5ZHK6XUYHCHSDTU7ZTNQ4T3BHA,2483
AHEIZFKLEU26DWWBE77L67MM25DQ,3889
AG73BVBKUOH22USSFJA5ZWL7AKXA,2527
AFVQFT7ZN37LWO6GVF26ASNWUQ6Q,2190
AH2QTWYHUUR7D6I6ZCNYSR4XACBQ,3538
AHXO5KWH7Q2A2UTTLGQWIIR2ONPQ,4626
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,26
AENH6LSB6BM7XLPEYUL43WBOD6JA,699
AGSP6LSQK32SQEJO3YVVNACPWMSQ,3249
AFHER2NWLJQHNQ4BRB4NZAG46VCQ,1649
AH4W7AUDHCSRDHCJKME6U5X3BW4A,3615
AGZYNKTWTUPP4ZLJ77LH7TFL6Y5A,3521
AGN77Y4XMITXHDOOVYTIS5ARTU2Q,3056
AE4ACSEKJYS64UVRAPXPIOMTXE6Q,79
AFVV7CLXY43P3Z3F7SROBZATZVSQ,2194
AEXYLV5YOYWSLGG47VVECVURA7XQ,1096
AGLHRQLAWKWQKEF6VRO2Y3MRS4JQ,2989
AFPF2CONJ33FNFKOEQ2TUNWQJTFQ,1937
AF6SM2ESLD534XWS7P6PFSL257CA,1342
AHLBT2RDWYQWN5O2XNBNX2JPWVZA,4152
AEGC2QAVYZGT4HMW5UETR5KXONCA,426
AGAV7IY4HWGYRUIAGUZRXYUJ22DA,2593
AHNM5TRS66Y25IPXQK432ERWCEPA,4247
AGWBKZXJM7FNL3MXA2AQYE2S444A,3385
AGL2UHL3HOYF2UOJH2X6C52JIUWQ,2972
AFKVE5HRFK3X27DPXME72PUR5NXQ,1772
AGU772TE3ENSKHVGOOKNGXDSIOQA,3309
AHRM5LDYSR7GMMO2FEIOWSLRW5JQ,4408
AEH7KSVEFBYK3C7F4HCQPP6UV74A,459
AEA2MA24WNQT4JM3R3RK6QTE45YA,200
AGJHXACJPEJUDTONGTC7RGTMBMJQ,2929
